Currency,Rate
AED,3.965335
AFN,92.857164
ALL,115.098484
AMD,419.510843
ANG,1.945219
AOA,545.053
ARS,223.9637
AUD,1.624413
AWG,1.943529
AZN,1.834642
BAM,1.960409
BBD,2.179323
BDT,113.42666
BGN,1.9568
BHD,0.407083
BIF,2245.855884
BMD,1.079738
BND,1.438134
BOB,7.458188
BRL,5.60934
BSD,1.079327
BTC,3.9916568e-05
BTN,88.868857
BWP,14.2761
BYN,2.724316
BYR,21162.872756
BZD,2.175544
CAD,1.475085
CDF,2218.861972
CHF,0.989063
CLF,0.031548
CLP,870.625263
CNY,7.434109
COP,5051.826067
CRC,584.056858
CUC,1.079738
CUP,28.613068
CVE,110.727459
CZK,23.770876
DJF,191.891413
DKK,7.45073
DOP,59.115632
DZD,146.713777
EGP,33.368578
ERN,16.196076
ETB,58.20484
EUR,1.0
FJD,2.39518
FKP,0.882851
GBP,0.87889
GEL,2.780282
GGP,0.882851
GHS,13.074749
GIP,0.882851
GMD,66.538877
GNF,9345.135806
GTQ,8.421565
GYD,227.72588
HKD,8.476595
HNL,26.61557
HRK,7.5779
HTG,167.572402
HUF,386.146596
IDR,16311.986007
ILS,3.877319
IMP,0.882851
INR,88.764917
IQD,1576.418073
IRR,45645.941482
ISK,148.906221
JEP,0.882851
JMD,163.259278
JOD,0.765963
JPY,142.059007
KES,142.101428
KGS,94.390931
KHR,4379.419066
KMF,498.105973
KPW,971.764565
KRW,1401.711045
KWD,0.330897
KYD,0.899485
KZT,494.009952
LAK,18333.958282
LBP,16476.80838
LKR,350.801466
LRD,174.052598
LSL,19.748445
LTL,3.188187
LVL,0.653123
LYD,5.177303
MAD,11.080815
MDL,19.945058
MGA,4683.301048
MKD,61.755183
MMK,2266.555076
MNT,3811.841199
MOP,8.726791
MRO,385.466425
MUR,49.667824
MVR,16.649801
MWK,1101.876094
MXN,19.810287
MYR,4.772984
MZN,68.130617
NAD,19.748392
NGN,498.304122
NIO,39.452823
NOK,11.29862
NPR,142.190331
NZD,1.742315
OMR,0.415672
PAB,1.079302
PEN,4.067345
PGK,3.800175
PHP,58.436532
PKR,306.268029
PLN,4.68835
PYG,7730.960264
QAR,3.931295
RON,4.942182
RSD,117.329781
RUB,82.637749
RWF,1187.712247
SAR,4.055056
SBD,8.875583
SCR,14.957662
SDG,642.44413
SEK,11.205682
SGD,1.43735
SHP,1.313772
SLE,22.431506
SLL,21324.833632
SOS,613.823978
SRD,38.399276
STD,22348.40502
SVC,9.442011
SYP,2712.881977
SZL,19.748559
THB,37.186162
TJS,11.791339
TMT,3.789882
TND,3.363418
TOP,2.545803
TRY,20.614043
TTD,7.341054
TWD,32.761959
TZS,2525.555611
UAH,39.860217
UGX,4071.477551
USD,1.079738
UYU,41.818631
UZS,12325.213556
VEF,2618770.656653
VES,26.314411
VND,25390.048615
VUV,127.418645
WST,3.010114
XAF,657.52449
XAG,0.04678
XAU,0.000552
XCD,2.918047
XDR,0.804465
XOF,658.104039
XPF,120.579802
YER,270.255747
ZAR,19.766768
ZMK,9718.930929
ZMW,22.989408
ZWL,347.675326
